./solvers/bonmin-nlw/JuniperLibSm/feedtray.stdout:DATA, feedtray.jl, 98, 7, 0, 92, Min, -13.406005563507659, NaN, Optimal, 0.9622030258178711
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_pooling_dt4.stdout:DATA, crudeoil_pooling_dt4.jl, 5063, 1326, 0, 7699, Max, 13257.500004422125, NaN, UserLimit, 3745.121505022049
./solvers/bonmin-nlw/JuniperLibSm/csched2.stdout:DATA, csched2.jl, 401, 308, 0, 138, Min, -166101.9994907788, NaN, Optimal, 18.032279014587402
./solvers/bonmin-nlw/JuniperLibSm/nuclear14a.stdout:DATA, nuclear14a.jl, 993, 600, 0, 634, Min, -1.129303072641222, NaN, Optimal, 3290.1091978549957
./solvers/bonmin-nlw/JuniperLibSm/edgecross14-058.stdout:DATA, edgecross14-058.jl, 183, 182, 0, 1457, Min, 352.99999308001, NaN, Optimal, 44.4949791431427
./solvers/bonmin-nlw/JuniperLibSm/synheat.stdout:DATA, synheat.jl, 57, 12, 0, 65, Min, 154997.32922653932, NaN, Optimal, 1.654435157775879
./solvers/bonmin-nlw/JuniperLibSm/nuclear25.stdout:DATA, nuclear25.jl, 1679, 625, 0, 1304, Min, NaN, NaN, UserLimit, 3625.8012771606445
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_lee3_10.stdout:DATA, crudeoil_lee3_10.jl, 2561, 140, 0, 5822, Max, NaN, NaN, UserLimit, 4164.0052790641785
./solvers/bonmin-nlw/JuniperLibSm/heatexch_spec2.stdout:DATA, heatexch_spec2.jl, 77, 16, 0, 91, Min, 634976.3199461965, NaN, Optimal, 14.45771598815918
./solvers/bonmin-nlw/JuniperLibSm/transswitch0118p.stdout:DATA, transswitch0118p.jl, 1240, 179, 0, 2480, Min, 129465.72699894769, NaN, Optimal, 1238.3377990722656
./solvers/bonmin-nlw/JuniperLibSm/watercontamination0303r.stdout:DATA, watercontamination0303r.jl, 385, 14, 0, 557, Min, 424.5441038778549, NaN, Optimal, 49.82686185836792
./solvers/bonmin-nlw/JuniperLibSm/nuclear10b.stdout:DATA, nuclear10b.jl, 23827, 10920, 0, 24972, Min, NaN, NaN, UserLimit, 3623.6527478694916
./solvers/bonmin-nlw/JuniperLibSm/gasnet_al1.stdout:DATA, gasnet_al1.jl, 725, 136, 0, 831, Min, NaN, NaN, Error, 0.4260079860687256
./solvers/bonmin-nlw/JuniperLibSm/space960.stdout:DATA, space960.jl, 5538, 0, 960, 6498, Min, NaN, NaN, UserLimit, 3647.5062708854675
./solvers/bonmin-nlw/JuniperLibSm/crudeoil_pooling_ct1.stdout:DATA, crudeoil_pooling_ct1.jl, 311, 80, 0, 566, Min, 210537.4935707529, NaN, UserLimit, 3781.4638051986694
./solvers/bonmin-nlw/JuniperLibSm/ibs2.stdout:DATA, ibs2.jl, 3011, 1500, 0, 1822, Min, NaN, NaN, UserLimit, 3612.1621391773224
./solvers/bonmin-nlw/JuniperLibSm/nuclear25b.stdout:DATA, nuclear25b.jl, 1684, 650, 0, 1910, Min, -1.1122439138881972, NaN, UserLimit, 3650.525302171707
./solvers/bonmin-nlw/JuniperLibSm/genpooling_meyer15.stdout:DATA, genpooling_meyer15.jl, 735, 352, 0, 769, Min, 0, NaN, Infeasible, 23.5994291305542
./solvers/bonmin-nlw/JuniperLibSm/gastrans582_warm15.stdout:DATA, gastrans582_warm15.jl, 2187, 0, 250, 3733, Min, 0, NaN, Infeasible, 1339.483675956726
./solvers/bonmin-nlw/JuniperLibSm/sfacloc1_2_90.stdout:DATA, sfacloc1_2_90.jl, 200, 30, 0, 349, Min, 17.891542338450602, NaN, Optimal, 2.087908983230591
./solvers/bonmin-nlw/JuniperLibSm/heatexch_spec3.stdout:DATA, heatexch_spec3.jl, 261, 60, 0, 251, Min, 0, NaN, Infeasible, 1.381922960281372
