./solvers/minotaur-bnb-nlw/JuniperLibSm/multiplants_stg1b.stdout:DATA, multiplants_stg1b.jl, 476, 243, 0, 280, Max, NaN, NaN, UserLimit, 3603.2527849674225
./solvers/minotaur-bnb-nlw/JuniperLibSm/tspn10.stdout:DATA, tspn10.jl, 66, 45, 0, 22, Min, 225.12585150679124, NaN, Optimal, 0.23059296607971191
./solvers/minotaur-bnb-nlw/JuniperLibSm/graphpart_3pm-0334-0334.stdout:DATA, graphpart_3pm-0334-0334.jl, 109, 108, 0, 37, Min, -36.0, NaN, Optimal, 28.708942890167236
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd25-04.stdout:DATA, sssd25-04.jl, 129, 112, 0, 58, Min, 0, NaN, Infeasible, 0.21320605278015137
./solvers/minotaur-bnb-nlw/JuniperLibSm/edgecross10-070.stdout:DATA, edgecross10-070.jl, 91, 90, 0, 481, Min, 717.0000000000042, NaN, Optimal, 1030.442057132721
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd15-08persp.stdout:DATA, sssd15-08persp.jl, 177, 144, 0, 80, Min, 0, NaN, Infeasible, 0.25133395195007324
./solvers/minotaur-bnb-nlw/JuniperLibSm/nuclearve.stdout:DATA, nuclearve.jl, 352, 168, 0, 318, Min, -1.0318693399245686, NaN, Optimal, 11.829077005386353
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd15-08.stdout:DATA, sssd15-08.jl, 177, 144, 0, 80, Min, 0, NaN, Infeasible, 0.2609670162200928
./solvers/minotaur-bnb-nlw/JuniperLibSm/ndcc15persp.stdout:DATA, ndcc15persp.jl, 721, 40, 0, 347, Min, 0, NaN, Infeasible, 0.466170072555542
./solvers/minotaur-bnb-nlw/JuniperLibSm/o7_ar25_1.stdout:DATA, o7_ar25_1.jl, 113, 0, 42, 270, Min, 150.86807150980223, NaN, UserLimit, 3602.0973250865936
./solvers/minotaur-bnb-nlw/JuniperLibSm/routingdelay_bigm.stdout:DATA, routingdelay_bigm.jl, 1124, 396, 0, 2978, Min, 146.62556826552856, NaN, UserLimit, 126.50584483146667
./solvers/minotaur-bnb-nlw/JuniperLibSm/graphpart_2g-1010-0824.stdout:DATA, graphpart_2g-1010-0824.jl, 301, 300, 0, 101, Min, -7.024863999999997e6, NaN, Optimal, 35.578063011169434
./solvers/minotaur-bnb-nlw/JuniperLibSm/nuclear49.stdout:DATA, nuclear49.jl, 5736, 2401, 0, 3874, Min, NaN, NaN, UserLimit, 3602.6427869796753
./solvers/minotaur-bnb-nlw/JuniperLibSm/graphpart_clique-30.stdout:DATA, graphpart_clique-30.jl, 91, 90, 0, 31, Min, 495.00000000000045, NaN, Optimal, 122.8012809753418
./solvers/minotaur-bnb-nlw/JuniperLibSm/waternd2.stdout:DATA, waternd2.jl, 233, 72, 0, 250, Min, 0, NaN, Infeasible, 0.20172691345214844
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_li05.stdout:DATA, crudeoil_li05.jl, 941, 132, 0, 1917, Max, NaN, NaN, UserLimit, 3607.7874870300293
./solvers/minotaur-bnb-nlw/JuniperLibSm/no7_ar4_1.stdout:DATA, no7_ar4_1.jl, 113, 0, 42, 270, Min, 109.39054036439356, NaN, UserLimit, 3601.86461186409
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_pooling_ct3.stdout:DATA, crudeoil_pooling_ct3.jl, 730, 128, 0, 1199, Min, 0, NaN, Infeasible, 252.1667091846466
./solvers/minotaur-bnb-nlw/JuniperLibSm/edgecross14-176.stdout:DATA, edgecross14-176.jl, 183, 182, 0, 1457, Min, 5876.0000000001555, NaN, UserLimit, 3601.942179918289
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd15-06persp.stdout:DATA, sssd15-06persp.jl, 133, 108, 0, 64, Min, 0, NaN, Infeasible, 0.2608051300048828
./solvers/minotaur-bnb-nlw/JuniperLibSm/ghg_2veh.stdout:DATA, ghg_2veh.jl, 58, 18, 0, 63, Min, 7.771090489260418, NaN, Optimal, 135.67736291885376
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_li02.stdout:DATA, crudeoil_li02.jl, 1298, 240, 0, 5005, Max, 0, NaN, Infeasible, 0.6774148941040039
