./solvers/couenne-nlw/JuniperLibSm/o7_ar3_1.stdout:DATA, o7_ar3_1.jl, 113, 0, 42, 270, Min, 137.93181736450154, NaN, UserLimit, 3709.601851940155
./solvers/couenne-nlw/JuniperLibSm/feedtray.stdout:DATA, feedtray.jl, 98, 7, 0, 92, Min, -13.406005554499117, NaN, UserLimit, 3650.650825023651
./solvers/couenne-nlw/JuniperLibSm/crudeoil_pooling_dt4.stdout:DATA, crudeoil_pooling_dt4.jl, 5063, 1326, 0, 7699, Max, NaN, NaN, UserLimit, 3601.338333129883
./solvers/couenne-nlw/JuniperLibSm/csched2.stdout:DATA, csched2.jl, 401, 308, 0, 138, Min, -142764.6548408141, NaN, UserLimit, 3621.5520951747894
./solvers/couenne-nlw/JuniperLibSm/nuclear14a.stdout:DATA, nuclear14a.jl, 993, 600, 0, 634, Min, NaN, NaN, UserLimit, 3625.188174009323
./solvers/couenne-nlw/JuniperLibSm/edgecross14-058.stdout:DATA, edgecross14-058.jl, 183, 182, 0, 1457, Min, 352.99999999999807, NaN, Optimal, 175.73829412460327
./solvers/couenne-nlw/JuniperLibSm/synheat.stdout:DATA, synheat.jl, 57, 12, 0, 65, Min, 154998.5999992051, NaN, UserLimit, 3755.1578290462494
./solvers/couenne-nlw/JuniperLibSm/nuclear25.stdout:DATA, nuclear25.jl, 1679, 625, 0, 1304, Min, NaN, NaN, UserLimit, 3639.7999589443207
./solvers/couenne-nlw/JuniperLibSm/crudeoil_lee3_10.stdout:DATA, crudeoil_lee3_10.jl, 2561, 140, 0, 5822, Max, NaN, NaN, UserLimit, 3602.7808270454407
./solvers/couenne-nlw/JuniperLibSm/heatexch_spec2.stdout:DATA, heatexch_spec2.jl, 77, 16, 0, 91, Min, 635224.0251064197, NaN, UserLimit, 3765.350806951523
./solvers/couenne-nlw/JuniperLibSm/transswitch0118p.stdout:DATA, transswitch0118p.jl, 1240, 179, 0, 2480, Min, NaN, NaN, UserLimit, 3620.2059869766235
./solvers/couenne-nlw/JuniperLibSm/watercontamination0303r.stdout:DATA, watercontamination0303r.jl, 385, 14, 0, 557, Min, 828.5687125320828, NaN, UserLimit, 3816.163759946823
./solvers/couenne-nlw/JuniperLibSm/nuclear10b.stdout:DATA, nuclear10b.jl, 23827, 10920, 0, 24972, Min, NaN, NaN, UserLimit, 3617.030170917511
./solvers/couenne-nlw/JuniperLibSm/gasnet_al1.stdout:ANALYSIS TEST: DATA, gasnet_al1.jl, 725, 136, 0, 831, Min, NaN, NaN, Error, 0.709712028503418
./solvers/couenne-nlw/JuniperLibSm/space960.stdout:DATA, space960.jl, 5538, 0, 960, 6498, Min, NaN, NaN, UserLimit, 3601.7965788841248
./solvers/couenne-nlw/JuniperLibSm/crudeoil_pooling_ct1.stdout:DATA, crudeoil_pooling_ct1.jl, 311, 80, 0, 566, Min, 215472.3205180146, NaN, UserLimit, 3737.4479751586914
./solvers/couenne-nlw/JuniperLibSm/ibs2.stdout:DATA, ibs2.jl, 3011, 1500, 0, 1822, Min, 8.121561007627653, NaN, UserLimit, 3608.621397972107
./solvers/couenne-nlw/JuniperLibSm/nuclear25b.stdout:DATA, nuclear25b.jl, 1684, 650, 0, 1910, Min, NaN, NaN, UserLimit, 3609.4847288131714
./solvers/couenne-nlw/JuniperLibSm/genpooling_meyer15.stdout:DATA, genpooling_meyer15.jl, 735, 352, 0, 769, Min, 1.0552639693992885e6, NaN, UserLimit, 3667.5295991897583
./solvers/couenne-nlw/JuniperLibSm/gastrans582_warm15.stdout:DATA, gastrans582_warm15.jl, 2187, 0, 250, 3733, Min, 0, NaN, Infeasible, 1359.101576089859
./solvers/couenne-nlw/JuniperLibSm/sfacloc1_2_90.stdout:DATA, sfacloc1_2_90.jl, 200, 30, 0, 349, Min, 18.08002607233303, NaN, UserLimit, 3748.0424540042877
./solvers/couenne-nlw/JuniperLibSm/heatexch_spec3.stdout:DATA, heatexch_spec3.jl, 261, 60, 0, 251, Min, 64500.73483022391, NaN, UserLimit, 3774.265373945236
./solvers/couenne-nlw/JuniperLibSm/squfl020-050.stdout:DATA, squfl020-050.jl, 1021, 20, 0, 1051, Min, 230.20183451991986, NaN, Optimal, 305.6079521179199
./solvers/couenne-nlw/JuniperLibSm/sssd15-04persp.stdout:DATA, sssd15-04persp.jl, 89, 72, 0, 48, Min, 205424.78755087158, NaN, UserLimit, 3756.5783071517944
./solvers/couenne-nlw/JuniperLibSm/eg_disc_s.stdout:DATA, eg_disc_s.jl, 8, 0, 4, 28, Min, NaN, NaN, UserLimit, 3780.772444009781
./solvers/couenne-nlw/JuniperLibSm/edgecross20-040.stdout:DATA, edgecross20-040.jl, 381, 380, 0, 4561, Min, 56.999999999999915, NaN, Optimal, 116.54489612579346
./solvers/couenne-nlw/JuniperLibSm/sssd20-04persp.stdout:DATA, sssd20-04persp.jl, 109, 92, 0, 53, Min, 349138.863903783, NaN, UserLimit, 3749.8714950084686
./solvers/couenne-nlw/JuniperLibSm/sfacloc1_3_80.stdout:DATA, sfacloc1_3_80.jl, 294, 62, 0, 2162, Min, 10.145378259853686, NaN, UserLimit, 3668.890149831772
./solvers/couenne-nlw/JuniperLibSm/fo9_ar25_1.stdout:DATA, fo9_ar25_1.jl, 181, 0, 72, 436, Min, 39.134612040306834, NaN, UserLimit, 3701.7678899765015
./solvers/couenne-nlw/JuniperLibSm/fo8_ar4_1.stdout:DATA, fo8_ar4_1.jl, 145, 0, 56, 348, Min, 24.652197713598063, NaN, UserLimit, 3704.2373600006104
./solvers/couenne-nlw/JuniperLibSm/gams01.stdout:DATA, gams01.jl, 146, 110, 0, 1269, Min, NaN, NaN, UserLimit, 3605.985950946808
./solvers/couenne-nlw/JuniperLibSm/crudeoil_li06.stdout:DATA, crudeoil_li06.jl, 965, 132, 0, 2437, Max, NaN, NaN, UserLimit, 3633.0128931999207
./solvers/couenne-nlw/JuniperLibSm/gasprod_sarawak16.stdout:DATA, gasprod_sarawak16.jl, 1527, 38, 0, 2253, Min, -17513.32900478742, NaN, UserLimit, 3772.728583097458
./solvers/couenne-nlw/JuniperLibSm/routingdelay_proj.stdout:DATA, routingdelay_proj.jl, 1124, 396, 0, 2978, Min, NaN, NaN, UserLimit, 3772.7490241527557
./solvers/couenne-nlw/JuniperLibSm/waterno2_12.stdout:DATA, waterno2_12.jl, 1993, 108, 0, 2471, Min, NaN, NaN, UserLimit, 3681.102839946747
./solvers/couenne-nlw/JuniperLibSm/sssd20-08.stdout:DATA, sssd20-08.jl, 217, 184, 0, 85, Min, 485259.75924162124, NaN, UserLimit, 3703.1923270225525
./solvers/couenne-nlw/JuniperLibSm/graphpart_2g-0099-9211.stdout:DATA, graphpart_2g-0099-9211.jl, 244, 243, 0, 82, Min, -5.070020000000001e6, NaN, Optimal, 169.06633400917053
./solvers/couenne-nlw/JuniperLibSm/crudeoil_pooling_dt1.stdout:DATA, crudeoil_pooling_dt1.jl, 3713, 916, 0, 5779, Min, NaN, NaN, UserLimit, 3604.4592669010162
./solvers/couenne-nlw/JuniperLibSm/sssd15-06.stdout:DATA, sssd15-06.jl, 133, 108, 0, 64, Min, 662328.8981744114, NaN, UserLimit, 3706.8142189979553
./solvers/couenne-nlw/JuniperLibSm/o7_ar2_1.stdout:DATA, o7_ar2_1.jl, 113, 0, 42, 270, Min, 140.4119444836275, NaN, UserLimit, 3727.554435968399
./solvers/couenne-nlw/JuniperLibSm/sssd22-08.stdout:DATA, sssd22-08.jl, 233, 200, 0, 87, Min, 521082.2715878783, NaN, UserLimit, 3708.5651218891144
