./solvers/juniper/JuniperLib/cvxnonsep_pcon40r.stdout:DATA, cvxnonsep_pcon40r.jl,80,0,20,41, Min,-46.5991688614724,-46.6031071602931, Optimal,2.97523283958435
./solvers/juniper/JuniperLib/cvxnonsep_psig20r.stdout:DATA, cvxnonsep_psig20r.jl,43,0,10,23, Min,95.8973835676941,95.8973835676941, Optimal,1.36308288574219
./solvers/juniper/JuniperLib/cvxnonsep_psig30r.stdout:DATA, cvxnonsep_psig30r.jl,63,0,15,33, Min,78.9988517525924,78.9988517525924, Optimal,1.29160904884338
./solvers/juniper/JuniperLib/cvxnonsep_psig40r.stdout:DATA, cvxnonsep_psig40r.jl,83,0,20,43, Min,86.5461948139077,86.5393687852513, Optimal,2.70366907119751
./solvers/juniper/JuniperLib/deb10.stdout:DATA, deb10.jl,183,22,0,130, Min,209.427741097374,209.427741097374, Optimal,2.59007501602173
./solvers/juniper/JuniperLib/deb6.stdout:DATA, deb6.jl,476,20,0,508, Min,201.73926040363,201.73926040363, Optimal,25.1809749603271
./solvers/juniper/JuniperLib/deb7.stdout:DATA, deb7.jl,814,20,0,898, Min,0, NaN, Infeasible,13.6736900806427
./solvers/juniper/JuniperLib/deb8.stdout:DATA, deb8.jl,824,20,0,898, Min,0, NaN, Infeasible,15.7664909362793
./solvers/juniper/JuniperLib/deb9.stdout:DATA, deb9.jl,814,20,0,918, Min,0, NaN, Infeasible,12.4813539981842
./solvers/juniper/JuniperLib/du-opt.stdout:DATA, du-opt.jl,21,0,13,10, Min,3.55633948236734,3.55622209737263, Optimal,2.05651092529297
./solvers/juniper/JuniperLib/du-opt5.stdout:DATA, du-opt5.jl,21,0,13,10, Min,8.07365338826934,8.07365338826934, Optimal,55.0059440135956
./solvers/juniper/JuniperLib/edgecross10-010.stdout:DATA, edgecross10-010.jl,91,90,0,481, Min,0.999999420135936,0.999999397318767, Optimal,125.235733032227
./solvers/juniper/JuniperLib/edgecross10-020.stdout:DATA, edgecross10-020.jl,91,90,0,481, Min,10.9999975540395,10.9999975499046, Optimal,3.53581309318542
./solvers/juniper/JuniperLib/edgecross10-030.stdout:DATA, edgecross10-030.jl,91,90,0,481, Min,53.9999953136957,53.9999953119398, Optimal,1.75068306922913
./solvers/juniper/JuniperLib/edgecross10-040.stdout:DATA, edgecross10-040.jl,91,90,0,481, Min,167.999994136896,167.999994136896, Optimal,1.82794809341431
./solvers/juniper/JuniperLib/edgecross10-050.stdout:DATA, edgecross10-050.jl,91,90,0,481, Min,310.999992543707,310.999992543707, Optimal,1.45343518257141
./solvers/juniper/JuniperLib/edgecross10-060.stdout:DATA, edgecross10-060.jl,91,44,0,481, Min,462.999989714778,462.999989714778, Optimal,1.02107191085815
./solvers/juniper/JuniperLib/edgecross10-070.stdout:DATA, edgecross10-070.jl,91,90,0,481, Min,720.999989413846,720.999989413846, Optimal,1.91747093200684
./solvers/juniper/JuniperLib/edgecross10-080.stdout:DATA, edgecross10-080.jl,91,74,0,481, Min,1046.99999044752,1046.99999044752, Optimal,1.68051886558533
./solvers/juniper/JuniperLib/edgecross10-090.stdout:DATA, edgecross10-090.jl,91,90,0,481, Min,1386.99999017853,1386.99999017682, Optimal,4.5512900352478
./solvers/juniper/JuniperLib/edgecross14-019.stdout:DATA, edgecross14-019.jl,183,182,0,1457, Min,4.99999766279834,4.99999766221536, Optimal,1897.78463983536
./solvers/juniper/JuniperLib/edgecross14-039.stdout:DATA, edgecross14-039.jl,183,80,0,1457, Min,113.999992396775,113.999992396775, Optimal,16.5200459957123
./solvers/juniper/JuniperLib/edgecross14-058.stdout:DATA, edgecross14-058.jl,183,182,0,1457, Min,383.999987629171,383.999987620717, Optimal,12.2546598911285
./solvers/juniper/JuniperLib/edgecross14-078.stdout:DATA, edgecross14-078.jl,183,155,0,1457, Min,724.999977926367,0, Optimal,2.06298398971558
./solvers/juniper/JuniperLib/edgecross14-098.stdout:DATA, edgecross14-098.jl,183,182,0,1457, Min,1408.9999753063,1408.9999753063, Optimal,2.39028286933899
./solvers/juniper/JuniperLib/edgecross14-176.stdout:DATA, edgecross14-176.jl,183,182,0,1457, Min,5902.9999700098,5902.9999700098, Optimal,7.04364991188049
./solvers/juniper/JuniperLib/edgecross20-040.stdout:DATA, edgecross20-040.jl,381,380,0,4561, Min,56.9999899427765,56.9999898228109, Optimal,261.630660057068
./solvers/juniper/JuniperLib/edgecross22-048.stdout:DATA, edgecross22-048.jl,463,462,0,6161, Min,83.9999850792344,83.9999850792344, Optimal,1556.38020014763
./solvers/juniper/JuniperLib/edgecross24-057.stdout:DATA, edgecross24-057.jl,553,552,0,8097, Min, NaN,208.999981790838, UserLimit,3601.3091340065
./solvers/juniper/JuniperLib/eg_all_s.stdout:DATA, eg_all_s.jl,8,0,7,28, Min,7.65775180975129,7.65775180975129, Optimal,10.0324399471283
./solvers/juniper/JuniperLib/eg_disc_s.stdout:DATA, eg_disc_s.jl,8,0,4,28, Min,6.83904328461279,6.83904328461279, Optimal,13.0365228652954
./solvers/juniper/JuniperLib/eg_disc2_s.stdout:DATA, eg_disc2_s.jl,8,0,3,28, Min,5.93326871835531,5.93326871835531, Optimal,2.63101005554199
./solvers/juniper/JuniperLib/eg_int_s.stdout:DATA, eg_int_s.jl,8,0,3,28, Min,6.45310288501221,6.45310288501221, Optimal,3.60462713241577
./solvers/juniper/JuniperLib/elf.stdout:DATA, elf.jl,55,24,0,39, Min,0.191662452875418,0.191662452875418, Optimal,4.8361279964447
./solvers/juniper/JuniperLib/eniplac.stdout:DATA, eniplac.jl,142,24,0,190, Min,-130577.07374723,-130588.170727086, Optimal,79.4861550331116
./solvers/juniper/JuniperLib/enpro48.stdout:DATA, enpro48.jl,154,92,0,215, Min,187277.25387516,187265.359935924, Optimal,25.3207890987396
./solvers/juniper/JuniperLib/enpro48pb.stdout:DATA, enpro48pb.jl,154,92,0,215, Min,187277.254353358,187265.359935925, Optimal,24.4988918304443
./solvers/juniper/JuniperLib/enpro56.stdout:DATA, enpro56.jl,128,73,0,192, Min,263428.291616955,263428.291616955, Optimal,45.5306260585785
./solvers/juniper/JuniperLib/enpro56pb.stdout:DATA, enpro56pb.jl,128,73,0,192, Min,263428.292192205,263428.292192205, Optimal,51.3382039070129
./solvers/juniper/JuniperLib/ex1223.stdout:DATA, ex1223.jl,12,4,0,14, Min,4.5795823699746,4.5795823699746, Optimal,0.423019170761108
